GNISIDNAME,COUNT,AREA,PercentArea_Value,MIN_cellsml,MAX_cellsml,RANGE_cellsml,MEAN_cellsml,STD_cellsml,Day,Year,Date,wi_DWSA
Upper Klamath Lake_01151685,2427,218430000,,6310,5345646,5339336,2080326,791598,197,2020,7/15/2020,#N/A
Sturgeon Lake_01127681,119,10710000,,6310,2679170,2672860,711144,566824,197,2020,7/15/2020,Yes
Davis Lake_01140666,117,10530000,,6310,2831393,2825083,663620,804911,197,2020,7/15/2020,#N/A
Lake Billy Chinook_01138120,110,9900000,,6310,554626,548316,153823,169794,197,2020,7/15/2020,#N/A
Howard Prairie Lake_01158895,45,4050000,,6310,619442,613132,62536,141375,197,2020,7/15/2020,#N/A
Odell Lake_01147159,113,10170000,,6310,169044,162735,53511,40516,197,2020,7/15/2020,#N/A
Fern Ridge Lake_01120678,260,23400000,,6310,356451,350142,9311,30362,197,2020,7/15/2020,Yes
Crescent Lake_01158186,150,13500000,,6310,54450,48141,6631,3918,197,2020,7/15/2020,#N/A
Waldo Lake_01151818,221,19890000,,6310,6310,0,6310,0,197,2020,7/15/2020,Yes
Wickiup Reservoir_01161711,115,10350000,,6310,6310,0,6310,0,197,2020,7/15/2020,#N/A
Paulina Lake_01147502,48,4320000,,6310,6310,0,6310,0,197,2020,7/15/2020,#N/A
Crane Prairie Reservoir_01140386,153,13770000,,6310,6310,0,6310,0,197,2020,7/15/2020,#N/A
Cottage Grove Lake_01158179,25,2250000,,6310,6310,0,6310,0,197,2020,7/15/2020,Yes
Dorena Lake_01120032,45,4050000,,6310,6310,0,6310,0,197,2020,7/15/2020,Yes
Hills Creek Lake_01158881,64,5760000,,6310,6310,0,6310,0,197,2020,7/15/2020,Yes
Summit Lake_01150624,22,1980000,,6310,6310,0,6310,0,197,2020,7/15/2020,#N/A
Lost Creek Lake_01158890,98,8820000,,6310,6310,0,6310,0,197,2020,7/15/2020,Yes
Foster Lake_01158892,26,2340000,,6310,6310,0,6310,0,197,2020,7/15/2020,Yes
Lake of the Woods_01161601,43,3870000,,6310,6310,0,6310,0,197,2020,7/15/2020,#N/A
Diamond Lake_01140999,127,11430000,,6310,6310,0,6310,0,197,2020,7/15/2020,Yes
